Company Name, % of employees who would recommend this company to a friend ," % of employees who approve of the CEO as of May 6, 2020 on Glassdoor",2020 CRN 100 Categories 
Fivetran,100%,100%,Data Management And Integration Tool
Matillion,100%,100%,Data Management And Integration Tool
Splice Machine,100%,100%,Database Systems
Dataiku,99%,100%,Data Science And Machine Learning Tools 
AtScale,98%,100%,Business Analytics
Alation,97%,97%,Data Management And Integration Tool
Diyotta,96%,96%,Data Management And Integration Tool
Collibra,95%,99%,Data Management And Integration Tool
Confluent,95%,98%,Data Management And Integration Tool
Databricks,95%,98%,Business Analytics
Erwin,94%,100%,Data Management And Integration Tool
InfluxData,94%,93%,Database Systems
SAP,93%,97%,Big Data Systems And Platforms
ThoughtSpot,93%,96%,Business Analytics
Couchbase,92%,97%,Database Systems
MongoDB,92%,97%,Database Systems
Redis Labs,92%,99%,Database Systems
StreamSets,91%,100%,Data Management And Integration Tool
Qubole,90%,93%,Data Management And Integration Tool
Google Cloud,89%,92%,Big Data Systems And Platforms
Microsoft,89%,97%,Big Data Systems And Platforms
Talend,89%,100%,Data Management And Integration Tool
Domo ,88%,88%,Business Analytics
Tamr,88%,84%,Data Management And Integration Tool
Domino Data Lab,86%,89%,Data Science And Machine Learning Tools 
Kinetica,85%,88%,Business Analytics
Reltio,85%,91%,Data Management And Integration Tool
Dell Technologies,84%,93%,Big Data Systems And Platforms
Anodot ,83%,91%,Business Analytics
Dremio,82%,87%,Data Management And Integration Tool
Informatica,82%,96%,Data Management And Integration Tool
H2O.ai,81%,87%,Data Science And Machine Learning Tools 
MariaDB,81%,77%,Database Systems
MemSQL,81%,94%,Database Systems
Actifio,79%,96%,Data Management And Integration Tool
Splunk,79%,92%,Big Data Systems And Platforms
Amazon Web Services,77%,86%,Big Data Systems And Platforms
Sisense,77%,95%,Business Analytics
Trifacta,77%,78%,Data Management And Integration Tool
RapidMiner,76%,84%,Data Science And Machine Learning Tools 
Snowflake,76%,80%,Big Data Systems And Platforms
Magnitude Software,75%,87%,Data Management And Integration Tool
IBM,74%,95%,Big Data Systems And Platforms
MarkLogic,74%,85%,Database Systems
Incorta,73%,62%,Business Analytics
SAS,73%,78%,Business Analytics
Sumo Logic,73%,95%,Data Management And Integration Tool
Hewlett Packard Enterprise,72%,90%,Big Data Systems And Platforms
Salesforce/Tableau,72%,88%,Business Analytics
Zaloni,71%,100%,Data Management And Integration Tool
EnterpriseDB,68%,86%,Database Systems
Qlik,68%,81%,Business Analytics
OmniSci,67%,64%,Business Analytics
Cloudera,66%,83%,Big Data Systems And Platforms
GoodData,66%,70%,Business Analytics
Kyvos Insights,66%,N/A,Business Analytics
Teradata,66%,69%,Big Data Systems And Platforms
Oracle,65%,81%,Big Data Systems And Platforms
Actian,64%,73%,Data Management And Integration Tool
Tibco,64%,76%,Business Analytics
Alteryx,63%,82%,Business Analytics
Infor Birst,63%,63%,Business Analytics
Anaconda,59%,66%,Data Science And Machine Learning Tools 
Datameer,58%,56%,Business Analytics
Logi Analytics,56%,75%,Business Analytics
Micro Focus,56%,69%,Big Data Systems And Platforms
Big Squid,55%,N/A,Data Science And Machine Learning Tools 
DataStax,54%,50%,Database Systems
MicroStrategy,54%,45%,Business Analytics
Information Builders,51%,51%,Business Analytics
Denodo,50%,60%,Data Management And Integration Tool
DataRobot,42%,40%,Data Science And Machine Learning Tools 
Hitachi Vantara,32%,23%,Big Data Systems And Platforms
Syncsort,31%,50%,Data Management And Integration Tool
,,,
"No Responses in Glassdoor as of May 6, 2020",,,
Alluxio,N/A,N/A,Data Management And Integration Tool
DotData ,N/A,N/A,Data Science And Machine Learning Tools 
Fluree,N/A,N/A,Data Management And Integration Tool
Octopai,N/A,N/A,Data Management And Integration Tool
Outlier,N/A,N/A,Business Analytics
Promethium,N/A,N/A,Business Analytics
Rockset,N/A,N/A,Database Systems
,,,
"Less than 15 reviews on Glassdoor as of May 6, 2020",,,
Cazena - 4 reviews,55%,100%,Data Management And Integration Tool
Circonus - 8 reviews,73%,100%,Data Management And Integration Tool
Datical - 9 reviews,100%,N/A,Data Management And Integration Tool
Exasol - 10 reviews,93%,100%,Database Systems
Iguazio - 15 reviews,78%,100%,Data Science And Machine Learning Tools 
Immuta - 13 reviews,91%,100%,Data Management And Integration Tool
Infoworks - 8 reviews,90%,N/A,Data Management And Integration Tool
KNIME - 1 review,100%,N/A,Data Science And Machine Learning Tools 
Naveego - 3 reviews,100%,100%,Data Management And Integration Tool
Neo4j - 14 reviews ,94%,100%,Database Systems
Panoply - 10 reviews,76%,87%,Data Management And Integration Tool
Pepperdata - 11 reviews,82%,88%,Data Management And Integration Tool
Plotly Technologies - 11 reviews,93%,N/A,Business Analytics
Sqream - 2 reviews,N/A,N/A,Database Systems
Striim - 9 reviews,89%,87%,Data Management And Integration Tool
Tellius - 9 reviews,100%,N/A,Business Analytics
Timescale - 6 reviews,100%,100%,Database Systems
Unravel Data - 7 reviews,100%,100%,Data Management And Integration Tool
Yellowbrick Data - 2 reviews,100%,100%,Big Data Systems And Platforms
